Region,Global #,Without DNSSEC (Public) #,Without DNSSEC (Public) %,Without DNSSEC (Private) #,Without DNSSEC (Private) %,With Valid DNSSEC (Public) #,With Valid DNSSEC (Public) %,With Valid DNSSEC (Private) #,With Valid DNSSEC (Private) %,With Invalid DNSSEC (Public) #,With Invalid DNSSEC (Public) %,With Invalid DNSSEC (Private) #,With Invalid DNSSEC (Private) %
Iowa,34,2,5.88235294117647,29,85.29411764705883,1,2.941176470588235,2,5.88235294117647,0,0.0,0,0.0
Arizona,27,2,7.4074074074074066,22,81.48148148148148,2,7.4074074074074066,1,3.7037037037037033,0,0.0,0,0.0
District of Columbia,13,1,7.6923076923076925,12,92.3076923076923,0,0.0,0,0.0,0,0.0,0,0.0
Pennsylvania,108,16,14.814814814814813,82,75.92592592592592,5,4.62962962962963,5,4.62962962962963,0,0.0,0,0.0
Utah,13,2,15.384615384615385,10,76.92307692307693,1,7.6923076923076925,0,0.0,0,0.0,0,0.0
Massachusetts,74,12,16.216216216216218,58,78.37837837837837,1,1.3513513513513513,3,4.054054054054054,0,0.0,0,0.0
California,163,27,16.56441717791411,123,75.4601226993865,5,3.067484662576687,8,4.9079754601226995,0,0.0,0,0.0
Illinois,72,12,16.666666666666664,56,77.77777777777779,0,0.0,4,5.555555555555555,0,0.0,0,0.0
Florida,72,13,18.055555555555554,58,80.55555555555556,0,0.0,1,1.3888888888888888,0,0.0,0,0.0
Virginia,83,15,18.072289156626507,68,81.92771084337349,0,0.0,0,0.0,0,0.0,0,0.0
Rhode Island,11,2,18.181818181818183,8,72.72727272727273,0,0.0,1,9.090909090909092,0,0.0,0,0.0
Tennessee,42,9,21.428571428571427,31,73.80952380952381,1,2.380952380952381,1,2.380952380952381,0,0.0,0,0.0
Ohio,73,16,21.91780821917808,53,72.6027397260274,0,0.0,4,5.47945205479452,0,0.0,0,0.0
Missouri,54,12,22.22222222222222,39,72.22222222222221,1,1.8518518518518516,2,3.7037037037037033,0,0.0,0,0.0
New York,174,39,22.413793103448278,131,75.28735632183908,1,0.5747126436781609,3,1.7241379310344827,0,0.0,0,0.0
Oregon,29,7,24.137931034482758,19,65.51724137931035,2,6.896551724137931,1,3.4482758620689653,0,0.0,0,0.0
Falserth Carolina,61,16,26.229508196721312,43,70.49180327868852,0,0.0,2,3.278688524590164,0,0.0,0,0.0
Washington,30,8,26.666666666666668,19,63.33333333333333,0,0.0,3,10.0,0,0.0,0,0.0
Kansas,26,7,26.923076923076923,14,53.84615384615385,1,3.8461538461538463,4,15.384615384615385,0,0.0,0,0.0
Indiana,51,14,27.450980392156865,35,68.62745098039215,0,0.0,2,3.9215686274509802,0,0.0,0,0.0
Kentucky,29,8,27.586206896551722,21,72.41379310344827,0,0.0,0,0.0,0,0.0,0,0.0
Minnesota,43,12,27.906976744186046,30,69.76744186046511,0,0.0,1,2.3255813953488373,0,0.0,0,0.0
New Jersey,46,13,28.26086956521739,31,67.3913043478261,0,0.0,2,4.3478260869565215,0,0.0,0,0.0
Michigan,47,14,29.78723404255319,29,61.702127659574465,1,2.127659574468085,3,6.382978723404255,0,0.0,0,0.0
Vermont,10,3,30.0,7,70.0,0,0.0,0,0.0,0,0.0,0,0.0
Wisconsin,36,12,33.33333333333333,20,55.55555555555556,3,8.333333333333332,1,2.7777777777777777,0,0.0,0,0.0
Nebraska,21,7,33.33333333333333,12,57.14285714285714,0,0.0,1,4.761904761904762,0,0.0,1,4.761904761904762
Georgia,53,18,33.9622641509434,33,62.264150943396224,1,1.8867924528301887,1,1.8867924528301887,0,0.0,0,0.0
Arkansas,23,8,34.78260869565217,14,60.86956521739131,1,4.3478260869565215,0,0.0,0,0.0,0,0.0
Texas,107,38,35.51401869158878,64,59.813084112149525,3,2.803738317757009,2,1.8691588785046727,0,0.0,0,0.0
New Hampshire,14,5,35.714285714285715,9,64.28571428571429,0,0.0,0,0.0,0,0.0,0,0.0
South Carolina,36,13,36.11111111111111,22,61.111111111111114,0,0.0,1,2.7777777777777777,0,0.0,0,0.0
Maryland,32,12,37.5,17,53.125,2,6.25,1,3.125,0,0.0,0,0.0
South Dakota,16,6,37.5,9,56.25,1,6.25,0,0.0,0,0.0,0,0.0
Connecticut,28,11,39.285714285714285,17,60.71428571428571,0,0.0,0,0.0,0,0.0,0,0.0
Delaware,5,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0
Maine,17,7,41.17647058823529,10,58.82352941176471,0,0.0,0,0.0,0,0.0,0,0.0
Hawaii,7,3,42.857142857142854,4,57.14285714285714,0,0.0,0,0.0,0,0.0,0,0.0
Alabama,32,14,43.75,18,56.25,0,0.0,0,0.0,0,0.0,0,0.0
Mississippi,18,8,44.44444444444444,10,55.55555555555556,0,0.0,0,0.0,0,0.0,0,0.0
West Virginia,21,10,47.61904761904761,11,52.38095238095239,0,0.0,0,0.0,0,0.0,0,0.0
Colorado,25,12,48.0,10,40.0,2,8.0,1,4.0,0,0.0,0,0.0
Nevada,6,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0
