Region,Global #,Without SSL #,Without SSL %,256 (ECC) #,256 (ECC) %,384 (ECC) #,384 (ECC) %,1024 (RSA) #,1024 (RSA) %,2048 (RSA) #,2048 (RSA) %,3072 (RSA) #,3072 (RSA) %,4096 (RSA) #,4096 (RSA) %
Montana,6,1,16.666666666666664,0,0.0,0,0.0,0,0.0,2,33.33333333333333,0,0.0,3,50.0
Pennsylvania,21,1,4.761904761904762,3,14.285714285714285,0,0.0,0,0.0,16,76.19047619047619,0,0.0,1,4.761904761904762
New York,40,1,2.5,0,0.0,0,0.0,0,0.0,34,85.0,0,0.0,5,12.5
Alabama,14,0,0.0,0,0.0,0,0.0,0,0.0,13,92.85714285714286,0,0.0,1,7.142857142857142
Nevada,3,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0
New Hampshire,5,0,0.0,0,0.0,0,0.0,0,0.0,4,80.0,0,0.0,1,20.0
New Jersey,13,0,0.0,0,0.0,0,0.0,0,0.0,12,92.3076923076923,0,0.0,1,7.6923076923076925
New Mexico,7,0,0.0,0,0.0,0,0.0,0,0.0,6,85.71428571428571,0,0.0,1,14.285714285714285
North Carolina,16,0,0.0,1,6.25,0,0.0,0,0.0,11,68.75,0,0.0,4,25.0
North Dakota,6,0,0.0,0,0.0,0,0.0,0,0.0,6,100.0,0,0.0,0,0.0
Ohio,16,0,0.0,0,0.0,0,0.0,0,0.0,12,75.0,0,0.0,4,25.0
Oklahoma,14,0,0.0,1,7.142857142857142,2,14.285714285714285,0,0.0,10,71.42857142857143,0,0.0,1,7.142857142857142
Oregon,9,0,0.0,1,11.11111111111111,0,0.0,0,0.0,8,88.88888888888889,0,0.0,0,0.0
Rhode Island,2,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0
South Carolina,13,0,0.0,0,0.0,0,0.0,0,0.0,13,100.0,0,0.0,0,0.0
South Dakota,7,0,0.0,0,0.0,0,0.0,0,0.0,6,85.71428571428571,0,0.0,1,14.285714285714285
Tennessee,10,0,0.0,0,0.0,0,0.0,0,0.0,9,90.0,0,0.0,1,10.0
Texas,41,0,0.0,0,0.0,0,0.0,0,0.0,34,82.92682926829268,0,0.0,7,17.073170731707318
Utah,3,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0
Vermont,3,0,0.0,0,0.0,0,0.0,0,0.0,2,66.66666666666666,0,0.0,1,33.33333333333333
Virginia,15,0,0.0,0,0.0,2,13.333333333333334,0,0.0,10,66.66666666666666,0,0.0,3,20.0
Washington,8,0,0.0,0,0.0,0,0.0,0,0.0,7,87.5,0,0.0,1,12.5
West Virginia,10,0,0.0,0,0.0,0,0.0,0,0.0,9,90.0,0,0.0,1,10.0
Wisconsin,15,0,0.0,1,6.666666666666667,0,0.0,0,0.0,13,86.66666666666667,0,0.0,1,6.666666666666667
Nebraska,7,0,0.0,2,28.57142857142857,0,0.0,0,0.0,5,71.42857142857143,0,0.0,0,0.0
Missouri,13,0,0.0,1,7.6923076923076925,0,0.0,0,0.0,11,84.61538461538461,0,0.0,1,7.6923076923076925
Alaska,3,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0
Idaho,4,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0
Arizona,4,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0
Arkansas,9,0,0.0,0,0.0,0,0.0,0,0.0,8,88.88888888888889,0,0.0,1,11.11111111111111
California,32,0,0.0,0,0.0,1,3.125,0,0.0,29,90.625,0,0.0,2,6.25
Colorado,14,0,0.0,0,0.0,0,0.0,0,0.0,13,92.85714285714286,0,0.0,1,7.142857142857142
Connecticut,11,0,0.0,0,0.0,0,0.0,0,0.0,11,100.0,0,0.0,0,0.0
Delaware,2,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0
District of Columbia,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Florida,13,0,0.0,0,0.0,0,0.0,0,0.0,12,92.3076923076923,0,0.0,1,7.6923076923076925
Georgia,19,0,0.0,1,5.263157894736842,0,0.0,0,0.0,15,78.94736842105263,0,0.0,3,15.789473684210526
Hawaii,3,0,0.0,0,0.0,0,0.0,0,0.0,2,66.66666666666666,0,0.0,1,33.33333333333333
Illinois,12,0,0.0,0,0.0,0,0.0,0,0.0,8,66.66666666666666,0,0.0,4,33.33333333333333
Mississippi,8,0,0.0,0,0.0,0,0.0,0,0.0,7,87.5,0,0.0,1,12.5
Indiana,14,0,0.0,0,0.0,1,7.142857142857142,0,0.0,13,92.85714285714286,0,0.0,0,0.0
Iowa,3,0,0.0,1,33.33333333333333,0,0.0,0,0.0,2,66.66666666666666,0,0.0,0,0.0
Kansas,8,0,0.0,1,12.5,1,12.5,0,0.0,4,50.0,0,0.0,2,25.0
Kentucky,8,0,0.0,0,0.0,0,0.0,0,0.0,8,100.0,0,0.0,0,0.0
Louisiana,16,0,0.0,0,0.0,0,0.0,0,0.0,15,93.75,0,0.0,1,6.25
Maine,7,0,0.0,0,0.0,2,28.57142857142857,0,0.0,5,71.42857142857143,0,0.0,0,0.0
Maryland,14,0,0.0,0,0.0,0,0.0,0,0.0,10,71.42857142857143,0,0.0,4,28.57142857142857
Massachusetts,13,0,0.0,0,0.0,0,0.0,0,0.0,11,84.61538461538461,0,0.0,2,15.384615384615385
Michigan,15,0,0.0,0,0.0,0,0.0,0,0.0,15,100.0,0,0.0,0,0.0
Minnesota,12,0,0.0,0,0.0,0,0.0,0,0.0,11,91.66666666666666,0,0.0,1,8.333333333333332
Wyoming,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Total,563,3,0.5328596802841918,13,2.3090586145648313,9,1.5985790408525755,0,0.0,475,84.36944937833037,0,0.0,63,11.190053285968029
