Region,Global #,Without Security Headers #,Without Security Headers %,With At Least One Security Header #,With At Least One Security Header %,With All Security Headers #,With All Security Headers %
Wyoming,1,0,0.0,1,100.0,0,0.0
Nebraska,7,0,0.0,7,100.0,0,0.0
Nevada,3,0,0.0,3,100.0,0,0.0
Idaho,4,0,0.0,4,100.0,0,0.0
Oregon,9,0,0.0,9,100.0,0,0.0
District of Columbia,1,0,0.0,1,100.0,0,0.0
Delaware,2,0,0.0,2,100.0,0,0.0
Rhode Island,2,0,0.0,2,100.0,0,0.0
Utah,3,0,0.0,3,100.0,0,0.0
Washington,8,0,0.0,8,100.0,0,0.0
Arizona,4,0,0.0,4,100.0,0,0.0
Connecticut,11,0,0.0,11,100.0,0,0.0
California,32,2,6.25,30,93.75,0,0.0
Ohio,16,1,6.25,15,93.75,0,0.0
Wisconsin,15,1,6.666666666666667,14,93.33333333333333,0,0.0
Indiana,14,1,7.142857142857142,13,92.85714285714286,0,0.0
West Virginia,10,1,10.0,9,90.0,0,0.0
North Carolina,16,2,12.5,14,87.5,0,0.0
Michigan,15,2,13.333333333333334,13,86.66666666666667,0,0.0
South Dakota,7,1,14.285714285714285,6,85.71428571428571,0,0.0
New Mexico,7,1,14.285714285714285,6,85.71428571428571,0,0.0
Alabama,14,2,14.285714285714285,12,85.71428571428571,0,0.0
New York,40,6,15.0,34,85.0,0,0.0
New Jersey,13,2,15.384615384615385,11,84.61538461538461,0,0.0
Minnesota,12,2,16.666666666666664,10,83.33333333333334,0,0.0
New Hampshire,5,1,20.0,4,80.0,0,0.0
Maryland,14,3,21.428571428571427,11,78.57142857142857,0,0.0
Colorado,14,3,21.428571428571427,11,78.57142857142857,0,0.0
Texas,41,9,21.951219512195124,32,78.04878048780488,0,0.0
Mississippi,8,2,25.0,6,75.0,0,0.0
Kansas,8,2,25.0,6,75.0,0,0.0
Georgia,19,5,26.31578947368421,14,73.68421052631578,0,0.0
Virginia,15,4,26.666666666666668,11,73.33333333333333,0,0.0
Pennsylvania,21,6,28.57142857142857,15,71.42857142857143,0,0.0
Oklahoma,14,4,28.57142857142857,10,71.42857142857143,0,0.0
Tennessee,10,3,30.0,7,70.0,0,0.0
Massachusetts,13,4,30.76923076923077,9,69.23076923076923,0,0.0
Louisiana,16,5,31.25,11,68.75,0,0.0
Illinois,12,4,33.33333333333333,8,66.66666666666666,0,0.0
Iowa,3,1,33.33333333333333,2,66.66666666666666,0,0.0
Vermont,3,1,33.33333333333333,2,66.66666666666666,0,0.0
North Dakota,6,2,33.33333333333333,4,66.66666666666666,0,0.0
South Carolina,13,5,38.46153846153847,8,61.53846153846154,0,0.0
Florida,13,5,38.46153846153847,8,61.53846153846154,0,0.0
Maine,7,3,42.857142857142854,4,57.14285714285714,0,0.0
Arkansas,9,4,44.44444444444444,5,55.55555555555556,0,0.0
Missouri,13,6,46.15384615384615,7,53.84615384615385,0,0.0
Montana,6,3,50.0,3,50.0,0,0.0
Kentucky,8,5,62.5,3,37.5,0,0.0
Hawaii,3,2,66.66666666666666,1,33.33333333333333,0,0.0
Alaska,3,2,66.66666666666666,1,33.33333333333333,0,0.0
Total,563,118,20.959147424511546,445,79.04085257548846,0,0.0
