Region,Global #,Without SSL #,Without SSL %,RSA #,RSA %,ECC #,ECC %
Montana,6,1,16.666666666666664,5,83.33333333333334,0,0.0
Pennsylvania,21,1,4.761904761904762,17,80.95238095238095,3,14.285714285714285
New York,40,1,2.5,39,97.5,0,0.0
Alabama,14,0,0.0,14,100.0,0,0.0
Nevada,3,0,0.0,3,100.0,0,0.0
New Hampshire,5,0,0.0,5,100.0,0,0.0
New Jersey,13,0,0.0,13,100.0,0,0.0
New Mexico,7,0,0.0,7,100.0,0,0.0
North Carolina,16,0,0.0,15,93.75,1,6.25
North Dakota,6,0,0.0,6,100.0,0,0.0
Ohio,16,0,0.0,16,100.0,0,0.0
Oklahoma,14,0,0.0,11,78.57142857142857,3,21.428571428571427
Oregon,9,0,0.0,8,88.88888888888889,1,11.11111111111111
Rhode Island,2,0,0.0,2,100.0,0,0.0
South Carolina,13,0,0.0,13,100.0,0,0.0
South Dakota,7,0,0.0,7,100.0,0,0.0
Tennessee,10,0,0.0,10,100.0,0,0.0
Texas,41,0,0.0,41,100.0,0,0.0
Utah,3,0,0.0,3,100.0,0,0.0
Vermont,3,0,0.0,3,100.0,0,0.0
Virginia,15,0,0.0,13,86.66666666666667,2,13.333333333333334
Washington,8,0,0.0,8,100.0,0,0.0
West Virginia,10,0,0.0,10,100.0,0,0.0
Wisconsin,15,0,0.0,14,93.33333333333333,1,6.666666666666667
Nebraska,7,0,0.0,5,71.42857142857143,2,28.57142857142857
Missouri,13,0,0.0,12,92.3076923076923,1,7.6923076923076925
Alaska,3,0,0.0,3,100.0,0,0.0
Idaho,4,0,0.0,4,100.0,0,0.0
Arizona,4,0,0.0,4,100.0,0,0.0
Arkansas,9,0,0.0,9,100.0,0,0.0
California,32,0,0.0,31,96.875,1,3.125
Colorado,14,0,0.0,14,100.0,0,0.0
Connecticut,11,0,0.0,11,100.0,0,0.0
Delaware,2,0,0.0,2,100.0,0,0.0
District of Columbia,1,0,0.0,1,100.0,0,0.0
Florida,13,0,0.0,13,100.0,0,0.0
Georgia,19,0,0.0,18,94.73684210526315,1,5.263157894736842
Hawaii,3,0,0.0,3,100.0,0,0.0
Illinois,12,0,0.0,12,100.0,0,0.0
Mississippi,8,0,0.0,8,100.0,0,0.0
Indiana,14,0,0.0,13,92.85714285714286,1,7.142857142857142
Iowa,3,0,0.0,2,66.66666666666666,1,33.33333333333333
Kansas,8,0,0.0,6,75.0,2,25.0
Kentucky,8,0,0.0,8,100.0,0,0.0
Louisiana,16,0,0.0,16,100.0,0,0.0
Maine,7,0,0.0,5,71.42857142857143,2,28.57142857142857
Maryland,14,0,0.0,14,100.0,0,0.0
Massachusetts,13,0,0.0,13,100.0,0,0.0
Michigan,15,0,0.0,15,100.0,0,0.0
Minnesota,12,0,0.0,12,100.0,0,0.0
Wyoming,1,0,0.0,1,100.0,0,0.0
Total,563,3,0.5328596802841918,538,95.5595026642984,22,3.9076376554174073
