Region,Quartile,Without SSL (pub),SSLv2.0 (pub),SSLv3.0 (pub),TLSv1.0 (pub),TLSv1.1 (pub),TLSv1.2 (pub),TLSv1.3 (pub),Without SSL (pvt),SSLv2.0 (pvt),SSLv3.0 (pvt),TLSv1.0 (pvt),TLSv1.1 (pvt),TLSv1.2 (pvt),TLSv1.3 (pvt)
Delaware,1,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0
Virginia,1,0.0,0.0,0.0,13.333333333333334,6.666666666666667,73.33333333333333,6.666666666666667,5.263157894736842,0.0,0.0,23.684210526315788,0.0,71.05263157894737,0.0
Missouri,1,0.0,0.0,0.0,30.76923076923077,0.0,69.23076923076923,0.0,0.0,0.0,0.0,13.953488372093023,6.976744186046512,76.74418604651163,2.3255813953488373
Rhode Island,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Alaska,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Wyoming,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12.5,0.0,87.5,0.0
Vermont,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,85.71428571428571,0.0
North Dakota,1,0.0,0.0,0.0,16.666666666666664,0.0,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Colorado,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.333333333333332,8.333333333333332,83.33333333333334,0.0
Alabama,1,0.0,0.0,0.0,7.142857142857142,0.0,92.85714285714286,0.0,0.0,0.0,0.0,11.11111111111111,0.0,88.88888888888889,0.0
North Carolina,1,0.0,0.0,0.0,6.25,0.0,93.75,0.0,0.0,0.0,0.0,12.76595744680851,0.0,87.2340425531915,0.0
West Virginia,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,10.0,80.0,0.0
Ohio,2,0.0,0.0,0.0,6.25,0.0,93.75,0.0,1.7241379310344827,0.0,1.7241379310344827,8.620689655172415,1.7241379310344827,86.20689655172413,0.0
New Hampshire,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,77.77777777777779,0.0
Illinois,2,0.0,0.0,0.0,8.333333333333332,0.0,91.66666666666666,0.0,0.0,0.0,0.0,12.903225806451612,1.6129032258064515,85.48387096774194,0.0
Wisconsin,2,0.0,0.0,0.0,0.0,6.666666666666667,93.33333333333333,0.0,0.0,0.0,0.0,16.666666666666664,0.0,83.33333333333334,0.0
