Region,Global #,Without SSL #,Without SSL %,SSLv2.0 #,SSLv2.0 %,SSLv3.0 #,SSLv3.0 %,TLSv1.0 #,TLSv1.0 %,TLSv1.1 #,TLSv1.1 %,TLSv1.2 #,TLSv1.2 %,TLSv1.3 #,TLSv1.3 %
Virginia,38,2,5.263157894736842,0,0.0,0,0.0,9,23.684210526315788,0,0.0,27,71.05263157894737,0,0.0
Oregon,20,1,5.0,0,0.0,0,0.0,2,10.0,0,0.0,17,85.0,0,0.0
New Jersey,35,1,2.857142857142857,0,0.0,0,0.0,17,48.57142857142857,1,2.857142857142857,16,45.714285714285715,0,0.0
Georgia,36,1,2.7777777777777777,0,0.0,0,0.0,7,19.444444444444446,0,0.0,28,77.77777777777779,0,0.0
Ohio,58,1,1.7241379310344827,0,0.0,1,1.7241379310344827,5,8.620689655172415,1,1.7241379310344827,50,86.20689655172413,0,0.0
California,131,1,0.7633587786259541,0,0.0,0,0.0,18,13.740458015267176,0,0.0,112,85.49618320610686,0,0.0
New York,135,1,0.7407407407407408,0,0.0,1,0.7407407407407408,38,28.14814814814815,2,1.4814814814814816,93,68.88888888888889,0,0.0
Alabama,18,0,0.0,0,0.0,0,0.0,2,11.11111111111111,0,0.0,16,88.88888888888889,0,0.0
Nevada,7,0,0.0,0,0.0,0,0.0,2,28.57142857142857,0,0.0,5,71.42857142857143,0,0.0
New Hampshire,9,0,0.0,0,0.0,0,0.0,2,22.22222222222222,0,0.0,7,77.77777777777779,0,0.0
New Mexico,3,0,0.0,0,0.0,0,0.0,1,33.33333333333333,0,0.0,2,66.66666666666666,0,0.0
North Carolina,47,0,0.0,0,0.0,0,0.0,6,12.76595744680851,0,0.0,41,87.2340425531915,0,0.0
North Dakota,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0
Oklahoma,12,0,0.0,0,0.0,0,0.0,3,25.0,0,0.0,9,75.0,0,0.0
Rhode Island,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,100.0,0,0.0
Pennsylvania,87,0,0.0,0,0.0,0,0.0,12,13.793103448275861,0,0.0,75,86.20689655172413,0,0.0
Montana,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0
